Company,TypeName,Inches,Ram_GB,Weight_kg,Touchscreen,IPS,Res_X,Res_Y,PPI,SSD_GB,HDD_GB,Flash_Storage_GB,Hybrid_GB,Cpu_gama,Gpu_marca,SO,Price_euros
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Linux,367.0
Dell,Notebook,17.3,8,2.8,0,1,1920,1080,127.33567457123111,128.0,1000.0,0.0,0.0,Intel Core i5,AMD,Windows,979.0
HP,Notebook,15.6,4,1.86,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i5,Intel,Windows,488.69
HP,Notebook,15.6,8,2.1,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Windows,879.0
Asus,Notebook,15.6,4,2.0,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Linux,389.0
Dell,Gaming,15.6,16,2.65,0,1,1920,1080,141.21199808219862,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1499.0
Asus,Notebook,15.6,8,2.3,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Linux,522.99
Acer,Notebook,15.6,4,2.2,0,1,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,682.0
Dell,2 in 1 Convertible,17.3,12,2.77,1,0,1920,1080,127.33567457123111,0.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Windows,999.0
Apple,Ultrabook,13.3,8,1.37,0,1,2560,1600,226.98300468106115,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Mac,1419.0
Lenovo,Notebook,15.6,4,2.2,0,0,1366,768,100.45466986113651,128.0,0.0,0.0,0.0,Intel Core i3,Intel,Otro,369.0
Asus,Gaming,17.3,8,3.2,0,0,1920,1080,127.33567457123111,256.0,1000.0,0.0,0.0,Otro,AMD,Windows,1299.0
Dell,Notebook,15.6,4,2.3,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,AMD,Windows,639.0
Asus,Notebook,17.3,4,2.8,0,0,1366,768,90.58340172449303,0.0,1000.0,0.0,0.0,Intel Pentium Quad,Nvidia,Windows,466.0
Lenovo,2 in 1 Convertible,10.1,4,0.69,1,1,1920,1200,224.17380907857276,0.0,0.0,64.0,0.0,Otro,Intel,Otro,319.0
Acer,Notebook,15.6,8,2.2,0,1,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,841.0
HP,Notebook,15.6,4,1.86,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Otro,AMD,Windows,398.49
HP,Notebook,13.3,8,1.49,0,0,1920,1080,165.6321180513006,512.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1103.0
Acer,Notebook,15.6,4,2.4,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,384.0
Dell,Notebook,15.6,8,2.13,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,AMD,Windows,767.8
HP,Notebook,15.6,4,1.91,0,0,1920,1080,141.21199808219862,128.0,0.0,0.0,0.0,Intel Core i3,Intel,Windows,439.0
Asus,Notebook,15.6,4,2.0,0,0,1366,768,100.45466986113651,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,586.19
MSI,Gaming,17.3,16,2.43,0,0,1920,1080,127.33567457123111,256.0,2000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,2449.0
Asus,Notebook,15.6,4,2.0,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i3,Intel,Linux,415.0
Dell,Notebook,17.3,16,2.8,0,0,1920,1080,127.33567457123111,256.0,2000.0,0.0,0.0,Intel Core i7,AMD,Windows,1299.0
Dell,Ultrabook,14.0,8,1.7,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,879.0
Lenovo,Notebook,14.0,8,1.7,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i3,Intel,Otro,599.0
Asus,Notebook,14.0,8,1.4,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,941.0
HP,Notebook,15.6,8,1.86,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,690.0
Asus,Ultrabook,15.6,16,1.8,0,0,1920,1080,141.21199808219862,512.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1983.0
HP,Notebook,15.6,4,1.86,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i3,AMD,Windows,438.69
HP,Notebook,14.0,4,1.44,0,0,1366,768,111.93520355955211,32.0,0.0,0.0,0.0,Intel Celeron Dual,Intel,Windows,229.0
Lenovo,Notebook,15.6,4,1.9,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i5,Intel,Windows,549.0
Asus,Gaming,17.3,12,3.0,0,0,1920,1080,127.33567457123111,0.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Linux,949.0
Microsoft,Ultrabook,13.5,4,1.252,1,0,2256,1504,200.84255993695703,128.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1089.0
Dell,Ultrabook,13.3,8,1.4,0,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i7,AMD,Windows,955.0
Dell,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,AMD,Windows,870.0
MSI,Gaming,17.3,8,2.7,0,0,1920,1080,127.33567457123111,128.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Windows,1095.0
Acer,Notebook,14.0,8,2.1,0,0,1366,768,111.93520355955211,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,389.0
Asus,Gaming,15.6,8,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,949.0
Lenovo,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,0.0,2000.0,0.0,0.0,Intel Core i5,Intel,Otro,519.0
Dell,Notebook,15.6,8,2.02,0,0,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i7,Intel,Windows,855.0
Acer,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i3,Nvidia,Windows,530.0
HP,Notebook,17.3,8,2.5,0,0,1920,1080,127.33567457123111,128.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Windows,977.0
Dell,Ultrabook,15.6,8,1.88,0,1,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1096.16
Apple,Ultrabook,12.0,8,0.92,0,1,2304,1440,226.41554716935852,512.0,0.0,0.0,0.0,Intel Core i5,Intel,Mac,1510.0
HP,Notebook,14.0,8,1.63,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,860.0
Lenovo,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,128.0,0.0,0.0,0.0,Otro,AMD,Windows,399.0
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,AMD A9-Series 9420,AMD,Windows,395.0
Dell,Gaming,15.6,16,2.65,0,1,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1349.0
HP,Ultrabook,15.6,8,1.83,0,1,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,699.0
HP,Notebook,15.6,8,1.96,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,598.99
Asus,Gaming,15.6,16,2.2,0,1,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1449.0
Dell,Ultrabook,13.3,8,1.21,0,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1649.0
Asus,Gaming,15.6,8,2.45,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Otro,AMD,Windows,699.0
Acer,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,689.0
HP,Notebook,13.3,16,1.49,0,0,1920,1080,165.6321180513006,512.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1197.0
Dell,Gaming,15.6,8,2.65,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Windows,1195.0
Asus,Ultrabook,14.0,8,1.25,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1049.0
Acer,2 in 1 Convertible,13.3,8,1.5,1,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,847.0
Dell,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i7,AMD,Linux,599.9
Dell,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i3,AMD,Linux,485.0
Asus,Notebook,15.6,6,2.0,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i3,Nvidia,Windows,577.0
HP,Gaming,15.6,12,2.62,0,1,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1249.0
HP,Notebook,15.6,8,1.91,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,AMD,Windows,719.0
HP,Notebook,15.6,4,2.1,0,0,1920,1080,141.21199808219862,0.0,500.0,0.0,0.0,Otro,AMD,Windows,349.0
Dell,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i5,AMD,Linux,647.0
HP,Ultrabook,13.3,8,1.38,0,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1119.0
Microsoft,Ultrabook,13.5,8,1.252,1,0,2256,1504,200.84255993695703,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1340.0
HP,Notebook,14.0,6,1.58,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Windows,659.0
Lenovo,Notebook,15.6,4,1.85,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,414.9
Asus,Ultrabook,14.0,8,1.3,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1193.0
MSI,Gaming,15.6,16,2.2,0,0,1920,1080,141.21199808219862,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1299.0
Lenovo,Notebook,14.0,8,1.58,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1480.0
Asus,Ultrabook,15.6,16,1.5,0,0,1920,1080,141.21199808219862,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1262.0
Dell,Ultrabook,13.3,8,1.23,1,0,3200,1800,276.053530085501,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1379.0
Lenovo,2 in 1 Convertible,13.3,8,1.37,1,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1399.0
HP,Notebook,14.0,4,1.63,0,1,1366,768,111.93520355955211,0.0,500.0,0.0,0.0,Intel Core i5,Intel,Windows,722.0
Dell,Ultrabook,13.3,8,1.21,0,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1629.0
HP,2 in 1 Convertible,13.3,8,1.26,1,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1398.99
HP,Notebook,14.0,8,1.63,0,0,1920,1080,157.3505121487356,512.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1084.0
Dell,Notebook,15.6,8,2.16,0,1,1920,1080,141.21199808219862,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1130.33
Asus,Notebook,17.3,4,2.0,0,0,1920,1080,127.33567457123111,0.0,1000.0,0.0,0.0,Intel Core i3,Nvidia,Windows,564.0
Asus,Notebook,15.6,8,1.7,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1118.0
Acer,Notebook,15.6,6,2.1,1,1,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,479.0
MSI,Gaming,15.6,16,1.8,0,0,1920,1080,141.21199808219862,256.0,2000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,2241.5
Lenovo,Notebook,15.6,8,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Otro,629.0
HP,Notebook,17.3,16,2.5,0,0,1920,1080,127.33567457123111,512.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1271.0
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,256.0,0.0,0.0,0.0,AMD A9-Series 9420,AMD,Windows,451.0
HP,Notebook,15.6,4,1.86,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Intel Celeron Dual,Intel,Otro,259.0
HP,Notebook,14.0,8,1.63,0,0,1920,1080,157.3505121487356,0.0,1000.0,0.0,0.0,Intel Core i5,Intel,Windows,812.0
Asus,Notebook,14.0,4,1.65,0,0,1366,768,111.93520355955211,64.0,0.0,0.0,0.0,Otro,AMD,Windows,277.99
Dell,Notebook,17.3,16,2.8,0,0,1920,1080,127.33567457123111,256.0,2000.0,0.0,0.0,Intel Core i7,AMD,Windows,1396.0
HP,Notebook,17.3,8,2.5,0,0,1920,1080,127.33567457123111,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,928.0
Dell,Notebook,15.6,8,2.36,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i5,AMD,Windows,638.99
Dell,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i3,AMD,Windows,449.0
Acer,Ultrabook,14.0,8,1.6,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,884.0
Acer,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i3,Nvidia,Windows,572.0
HP,Notebook,15.6,8,2.05,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i7,Intel,Windows,598.0
HP,Notebook,14.0,8,1.63,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,988.0
Lenovo,Notebook,15.6,4,1.9,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Celeron Dual,Intel,Otro,252.36
Asus,Gaming,17.3,8,3.0,0,0,1920,1080,127.33567457123111,128.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Windows,938.0
Lenovo,Notebook,15.6,4,2.2,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Core i5,Nvidia,Otro,499.0
HP,Notebook,13.3,4,1.32,0,1,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,699.0
Acer,Notebook,17.3,4,3.0,0,1,1920,1080,127.33567457123111,0.0,1000.0,0.0,0.0,Intel Core i3,Nvidia,Windows,655.0
Lenovo,Notebook,14.0,8,1.75,0,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,AMD,Windows,1116.02
Lenovo,Gaming,15.6,8,2.4,0,1,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Otro,869.0
Toshiba,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i5,Intel,Windows,602.0
HP,Notebook,15.6,4,1.86,0,0,1366,768,100.45466986113651,256.0,0.0,0.0,0.0,Otro,AMD,Windows,369.0
Asus,Ultrabook,14.0,8,1.25,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1099.0
HP,Ultrabook,12.5,8,0.97,1,1,3840,2160,352.4651472131677,512.0,0.0,0.0,0.0,Intel Core M,Intel,Windows,2014.0
Asus,Notebook,15.6,4,2.0,0,0,1920,1080,141.21199808219862,0.0,1000.0,0.0,0.0,Intel Celeron Dual,Intel,Windows,344.0
MSI,Gaming,17.3,16,2.9,0,0,1920,1080,127.33567457123111,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,2029.0
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,447.0
Dell,Gaming,15.6,16,2.56,0,0,1920,1080,141.21199808219862,512.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1249.26
Dell,Gaming,15.6,8,2.62,0,0,1920,1080,141.21199808219862,0.0,0.0,0.0,1000.0,Intel Core i7,Nvidia,Windows,899.0
Lenovo,Notebook,15.6,4,1.9,0,0,1366,768,100.45466986113651,128.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,498.0
MSI,Gaming,17.3,16,2.8,0,0,1920,1080,127.33567457123111,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1890.0
HP,Ultrabook,14.0,4,1.48,0,0,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1082.0
HP,Notebook,15.6,6,1.91,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,AMD,Windows,619.0
Lenovo,2 in 1 Convertible,14.0,4,1.74,1,1,1920,1080,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i3,Intel,Windows,629.0
Asus,2 in 1 Convertible,13.3,8,1.1,1,0,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1315.0
Dell,2 in 1 Convertible,15.6,8,1.56,1,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1049.0
Toshiba,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i3,Intel,Windows,447.0
Asus,Notebook,15.6,4,2.03,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,AMD A9-Series 9420,AMD,Windows,403.0
Acer,Notebook,17.3,4,3.0,0,1,1920,1080,127.33567457123111,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Windows,805.0
Dell,Notebook,15.6,8,2.13,0,0,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,AMD,Windows,728.0
Lenovo,Gaming,15.6,16,2.5,0,1,1920,1080,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1079.0
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Celeron Dual,Intel,Windows,348.0
MSI,Gaming,15.6,16,2.4,0,1,1920,1080,141.21199808219862,256.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1799.0
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Pentium Quad,Intel,Windows,363.51
Dell,Gaming,15.6,8,2.56,0,0,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,1060.49
Acer,Notebook,17.3,8,3.0,0,1,1920,1080,127.33567457123111,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Windows,854.0
HP,Notebook,13.3,4,1.49,0,1,1920,1080,165.6321180513006,0.0,500.0,0.0,0.0,Intel Core i5,Intel,Windows,754.0
Huawei,Ultrabook,13.0,8,1.05,0,1,2160,1440,199.69207064108247,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1349.0
HP,Notebook,17.3,6,2.71,0,1,1920,1080,127.33567457123111,0.0,2000.0,0.0,0.0,Intel Core i5,AMD,Windows,699.0
Lenovo,Notebook,15.6,4,2.2,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Otro,AMD,Otro,309.0
Toshiba,Notebook,15.6,4,2.0,0,0,1366,768,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i3,Intel,Windows,489.0
HP,Notebook,17.3,8,2.5,0,0,1920,1080,127.33567457123111,256.0,0.0,0.0,0.0,Intel Core i5,Nvidia,Windows,923.0
Dell,Notebook,15.6,8,2.3,0,0,1366,768,100.45466986113651,0.0,1000.0,0.0,0.0,Intel Core i3,Intel,Windows,459.0
Acer,Notebook,15.6,4,2.1,0,0,1366,768,100.45466986113651,128.0,0.0,0.0,0.0,Intel Core i3,Intel,Windows,449.0
MSI,Gaming,18.4,32,4.4,0,0,1920,1080,119.7232157653423,512.0,1000.0,0.0,0.0,Intel Core i7,Nvidia,Windows,2799.0
Lenovo,Notebook,15.6,8,1.9,0,0,1920,1080,141.21199808219862,128.0,1000.0,0.0,0.0,Intel Core i5,AMD,Windows,813.0
HP,2 in 1 Convertible,13.3,8,1.29,1,1,3840,2160,331.2642361026012,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1499.0
Dell,Notebook,15.6,16,2.02,0,0,1920,1080,141.21199808219862,256.0,2000.0,0.0,0.0,Intel Core i7,AMD,Linux,1049.0
Dell,Ultrabook,13.3,8,1.23,0,0,1920,1080,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,1399.0
Lenovo,2 in 1 Convertible,13.9,16,1.4,1,1,3840,2160,316.96506044349616,512.0,0.0,0.0,0.0,Intel Core i7,Intel,Windows,1849.0
Toshiba,Notebook,15.6,8,2.0,0,0,1366,768,100.45466986113651,128.0,0.0,0.0,0.0,Intel Core i5,Intel,Windows,793.0
